Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU),SKU,Sales Price
Revise,PC Desktops & All-In-Ones (179),167708644816.0,Dell 7040 Micro Mini Tiny PC i5-6500T Quad 8GB Ram 256GB SSD HDMI/DSP Win11 Pro,US,USD,192.08,,0.0,,,061-RQJ-4TM,,
Revise,PC Desktops & All-In-Ones (179),157235882766.0,Dell OptiPlex 3050 Tiny Mini Micro PC i5-7500T 8GB RAM 256GB SSD Win11 PRO,US,USD,78.0,,0.0,,,L18-1FD-2IU,,
Revise,PC Desktops & All-In-Ones (179),157260514669.0,"Dell Desktop Tower Computer PC i5, up to 32GB RAM 1TB SSD, Windows 11 or 10 WIFI",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|Storage=256GB SSD;512GB SSD;1TB SSD|Operating System=Windows 10 Pro;Windows 11 Pro,33834111,,
,,,,,,112.2,,2.0,Variation,RAM Size=8 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_288CE5A8,IF_288CE5A8,1.0
,,,,,,116.2,,3.0,Variation,RAM Size=8 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_84587549,IF_84587549,1.0
,,,,,,136.2,,3.0,Variation,RAM Size=8 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_6F3E6AC4,,
,,,,,,140.2,,3.0,Variation,RAM Size=8 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_6F58ECAD,IF_6F58ECAD,1.0
,,,,,,140.2,,3.0,Variation,RAM Size=16 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_AC98C8AB,,
,,,,,,148.2,,3.0,Variation,RAM Size=16 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_80A06F63,IF_80A06F63,1.0
,,,,,,164.2,,3.0,Variation,RAM Size=16 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_15BBD94B,,
,,,,,,168.2,,3.0,Variation,RAM Size=16 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_527A15FF,IF_527A15FF,1.0
,,,,,,182.6,,3.0,Variation,RAM Size=32 GB|Storage=256GB SSD|Operating System=Windows 10 Pro,IF_67D65AE5,,
,,,,,,188.2,,3.0,Variation,RAM Size=32 GB|Storage=256GB SSD|Operating System=Windows 11 Pro,IF_0777984F,IF_0777984F,1.0
,,,,,,231.4,,3.0,Variation,RAM Size=32 GB|Storage=512GB SSD|Operating System=Windows 10 Pro,IF_C388B158,,
,,,,,,233.8,,3.0,Variation,RAM Size=32 GB|Storage=512GB SSD|Operating System=Windows 11 Pro,IF_4A4E9330,IF_4A4E9330,1.0
,,,,,,164.2,,3.0,Variation,RAM Size=8 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,C49-LBE-V6B,,
,,,,,,168.2,,3.0,Variation,RAM Size=8 GB|Storage=1TB SSD|Operating System=Windows 11 Pro,T5Z-6IK-YH2,,
,,,,,,200.2,,3.0,Variation,RAM Size=16 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,S3S-2DV-NPM,,
,,,,,,208.2,,3.0,Variation,RAM Size=16 GB|Storage=1TB SSD|Operating System=Windows 11 Pro,TIY-RYB-8EC,,
,,,,,,256.2,,3.0,Variation,RAM Size=32 GB|Storage=1TB SSD|Operating System=Windows 10 Pro,0Z9-B1F-FWN,,
,,,,,,264.2,,2.0,Variation,RAM Size=32 GB|Storage=1TB SSD|Operating System=Windows 11 Pro,ID6-SI8-OUM,ID6-SI8-OUM,1.0
Revise,PC Desktops & All-In-Ones (179),157272888492.0,Dell OptiPlex MT Core i5 Desktop PC 16GB RAM 265GB SSD DVD Wi-Fi Windows 11,US,USD,138.24,,10.0,,,IF_A57A50C0,,
Revise,PC Desktops & All-In-Ones (179),157275713968.0,Alacrity Upgraded 2D Industrial Barcode Scanner w/Wireless Charging Stand Orange,US,USD,48.5,,1.0,,,OUEG-Y8W8-5KCVZ,,
Revise,PC Desktops & All-In-Ones (179),157276020925.0,Dell Optiplex SFF PC Intel i5 8th Gen 16GB 512GB SSD WIN 11 Pro desktop WIFI,US,USD,218.99,,0.0,,,IF_CBB9302A,,
Revise,Barcode Scanners (46706),167749424223.0,Symcode MJ R30 2D Portable Wireless Bluetooth Finger Ring Barcode Scanner Reader,US,USD,75.0,,3.0,,,IF_553B391C,,
Revise,PC Desktops & All-In-Ones (179),167765610440.0,"Dell OptiPlex SFF Desktop PC Intel Core i5, 16GB RAM, 256GB SSD, Windows 11 Pro",US,USD,218.5,,10.0,,,153K-2MBV-TX6OP,,
Revise,PC Desktops & All-In-Ones (179),167765869992.0,Dell Optiplex Tower Intel Core i5-9th 16Gb 256Gb SSD Windows 11 pro,US,USD,272.25,,0.0,,,94QA-IJFQ-HM54B,,
Revise,PC Desktops & All-In-Ones (179),167770096653.0,"DELL OptiPlex Desktop PC i7,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852307,,
,,,,,,134.6,,3.0,Variation,RAM Size=8 GB|SSD Capacity=256 GB,IF_2C293D70,,
,,,,,,158.6,,3.0,Variation,RAM Size=8 GB|SSD Capacity=512 GB,IF_35B5AB01,,
,,,,,,166.6,,3.0,Variation,RAM Size=8 GB|SSD Capacity=1 TB,IF_CB0471DA,,
,,,,,,158.6,,3.0,Variation,RAM Size=16 GB|SSD Capacity=256 GB,IF_6688C352,,
,,,,,,182.6,,2.0,Variation,RAM Size=16 GB|SSD Capacity=512 GB,IF_496FC182,,
,,,,,,222.6,,3.0,Variation,RAM Size=16 GB|SSD Capacity=1 TB,IF_D927370C,,
,,,,,,222.6,,3.0,Variation,RAM Size=32 GB|SSD Capacity=256 GB,IF_B2EB56A4,,
,,,,,,238.6,,3.0,Variation,RAM Size=32 GB|SSD Capacity=512 GB,IF_0E5D9C30,,
,,,,,,262.6,,1.0,Variation,RAM Size=32 GB|SSD Capacity=1 TB,IF_B6B8757F,,
Revise,PC Desktops & All-In-Ones (179),157298374112.0,"DELL OptiPlex Desktop PC i5,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT",US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852309,,
,,,,,,112.17,,10.0,Variation,RAM Size=8 GB|SSD Capacity=256 GB,IF_4FCBCCE8,,
,,,,,,133.17,,10.0,Variation,RAM Size=8 GB|SSD Capacity=512 GB,IF_93E14B1B,,
,,,,,,140.17,,3.0,Variation,RAM Size=8 GB|SSD Capacity=1 TB,IF_4AF8F298,,
,,,,,,133.17,,3.0,Variation,RAM Size=16 GB|SSD Capacity=256 GB,IF_18D2B485,,
,,,,,,154.17,,2.0,Variation,RAM Size=16 GB|SSD Capacity=512 GB,IF_9BD04D7F,,
,,,,,,189.17,,3.0,Variation,RAM Size=16 GB|SSD Capacity=1 TB,IF_9B093AF0,,
,,,,,,189.17,,3.0,Variation,RAM Size=32 GB|SSD Capacity=256 GB,IF_8FD3811A,,
,,,,,,203.17,,10.0,Variation,RAM Size=32 GB|SSD Capacity=512 GB,IF_CB24E8F5,,
,,,,,,224.17,,10.0,Variation,RAM Size=32 GB|SSD Capacity=1 TB,IF_2040DA2A,,
Revise,PC Desktops & All-In-Ones (179),157298843945.0,Dell OptiPlex SFF Desktop PC Intel i5 | Up to 32GB RAM | 1TB SSD | Win 10/11 Pro,US,USD,,,,,RAM Size=8 GB;16 GB;32 GB|Hard Drive Capacity=256 GB;512 GB;1TB SSD|Operating System=Windows 10 Pro;Windows 11 Pro,33852731,,
,,,,,,162.25,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_515934EF,,
,,,,,,165.25,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_978AD2CC,,
,,,,,,218.0,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_52B11C4C,,
,,,,,,220.99,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_083B52AE,,
,,,,,,294.56,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 10 Pro,IF_51008F76,,
,,,,,,295.5,,3.0,Variation,RAM Size=8 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_76F6E1FC,,
,,,,,,215.25,,3.0,Variation,RAM Size=16 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_CB2445F8,,
,,,,,,216.25,,3.0,Variation,RAM Size=16 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_5C9C9740,,
,,,,,,258.54,,3.0,Variation,RAM Size=16 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_77556958,,
,,,,,,260.25,,3.0,Variation,RAM Size=16 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_CC106749,,
,,,,,,348.88,,3.0,Variation,RAM Size=16 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 10 Pro,IF_8EB41472,,
,,,,,,352.5,,3.0,Variation,RAM Size=16 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_579686CA,,
,,,,,,262.4,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_173CE468,,
,,,,,,263.99,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_655E12D1,,
,,,,,,310.99,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_F96557E9,,
,,,,,,312.5,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_A3112C40,,
,,,,,,399.99,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 10 Pro,IF_E771B3A5,,
,,,,,,417.52,,3.0,Variation,RAM Size=32 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_D71E1C3F,,
Revise,PC Desktops & All-In-Ones (179),157312859594.0,"DELL Desktop Computer PC i5,up to 32GB RAM,1TB m.2 SSD, Windows 10/11, WiFi",US,USD,,,,,Operating System=Windows 11 Pro;Windows 10 Pro|RAM Size=8 GB;16 GB;32 GB|SSD Capacity=128 GB;250 GB;500 GB;1 TB|Accessories=NONE,N5G-IF6-GXB,,
,,,,,,115.4,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=NONE,IF_E3B10D9A,IF_E3B10D9A,1.0
,,,,,,140.2,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_D599B172,,
,,,,,,173.0,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_E3562A0F,,
,,,,,,206.6,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_522BDEDB,,
,,,,,,128.2,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=NONE,IF_1AA7419F,IF_1AA7419F,1.0
,,,,,,153.8,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_BDFA39EF,,
,,,,,,187.4,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_9904A0D4,,
,,,,,,220.2,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_ED963D54,,
,,,,,,149.8,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=NONE,IF_BC17040F,,
,,,,,,173.0,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_AE063ACA,,
,,,,,,208.2,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_FD8AA980,,
,,,,,,242.6,,10.0,Variation,Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_319F6A60,,
,,,,,,102.6,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=NONE,IF_544B799B,,
,,,,,,132.2,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_892BCCBB,,
,,,,,,165.8,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_D9C5AD49,,
,,,,,,200.2,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_07291B55,,
,,,,,,120.2,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=NONE,IF_90521275,,
,,,,,,144.2,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_F66C5CE9,,
,,,,,,178.6,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_5A4E6062,,
,,,,,,213.8,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_AFC23013,,
,,,,,,140.2,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=NONE,IF_6B6152B1,,
,,,,,,165.0,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_B035807B,,
,,,,,,208.2,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_3ACB4173,,
,,,,,,233.8,,10.0,Variation,Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_0374C0C1,,
